_,file,constraints,filtered_constraints,num_pos,percentage_pos,num_neg,percentage_neg
61,instances/type01/instance0.json,24,3,1000,100,1000,100
60,instances/type01/instance1.json,192,24,1000,100,1000,100
59,instances/type01/instance2.json,248,31,1000,100,1000,100
58,instances/type01/instance3.json,472,59,1000,100,1000,100
57,instances/type01/instance4.json,296,37,1000,100,1000,100
56,instances/type01/instance5.json,251,33,1000,100,1000,100
63,instances/type01/instance6.json,318,45,1000,100,1000,100
62,instances/type01/instance7.json,217,35,1000,100,1000,100
50,instances/type02/instance0.json,106,7,2,100,102,100
49,instances/type02/instance1.json,130,17,10,100,116,100
48,instances/type02/instance2.json,258,18,4,100,107,100
47,instances/type02/instance3.json,242,40,32,100,137,100
46,instances/type02/instance4.json,332,54,73,100,220,99.5454545454546
45,instances/type02/instance5.json,318,44,281,100,629,100
52,instances/type02/instance6.json,374,48,579,100,1000,99.9
51,instances/type02/instance7.json,460,59,1000,100,1000,99.8
13,instances/type04/instance0.json,114,6,2,100,101,100
12,instances/type04/instance1.json,190,10,4,100,105,100
11,instances/type04/instance2.json,284,16,8,100,116,99.1379310344828
10,instances/type04/instance3.json,396,34,10,100,120,98.3333333333333
9,instances/type04/instance4.json,526,14,2,100,104,100
8,instances/type04/instance5.json,674,16,2,100,104,100
15,instances/type04/instance6.json,840,18,2,100,104,100
14,instances/type04/instance7.json,1024,58,4,100,108,100
33,instances/type07/instance0.json,8,1,18,100,9,100
32,instances/type07/instance1.json,16,2,24,100,35,82.8571428571429
25,instances/type07/instance10.json,564,21,18,100,135,100
31,instances/type07/instance2.json,16,2,52,100,78,66.6666666666667
30,instances/type07/instance3.json,24,3,96,100,177,77.4011299435028
28,instances/type07/instance4.json,24,3,206,100,325,68.9230769230769
27,instances/type07/instance5.json,32,4,230,100,419,71.8377088305489
35,instances/type07/instance6.json,32,4,436,100,740,63.2432432432432
34,instances/type07/instance7.json,48,6,240,100,495,68.2828282828283
29,instances/type07/instance8.json,48,6,148,100,347,69.4524495677233
26,instances/type07/instance9.json,92,12,91,100,252,85.3174603174603
5,instances/type08/instance0.json,88,7,4,100,107,100
4,instances/type08/instance1.json,140,16,8,100,112,100
3,instances/type08/instance2.json,220,39,19,100,114,100
2,instances/type08/instance3.json,330,64,25,100,127,100
1,instances/type08/instance4.json,446,90,32,100,140,100
0,instances/type08/instance5.json,568,118,96,100,266,100
7,instances/type08/instance6.json,726,151,236,100,547,99.4515539305302
6,instances/type08/instance7.json,896,192,518,100,1000,100
22,instances/type13/instance0.json,8,2,2,100,2,100
21,instances/type13/instance1.json,34,5,4,100,23,100
20,instances/type13/instance2.json,68,10,12,100,115,98.2608695652174
19,instances/type13/instance3.json,84,11,32,100,128,99.21875
17,instances/type13/instance4.json,124,16,92,100,238,100
16,instances/type13/instance5.json,188,25,160,100,362,99.4475138121547
24,instances/type13/instance6.json,238,31,355,100,755,100
23,instances/type13/instance7.json,298,38,608,100,1000,99.2
18,instances/type13/instance8.json,360,45,1000,100,1000,99.4
55,instances/type14/instance6.json,814,32,4,100,108,100
54,instances/type14/instance7.json,808,85,35,100,149,100
53,instances/type14/instance8.json,984,179,124,100,327,100
68,instances/type15/instance0.json,68,10,8,100,110,100
67,instances/type15/instance1.json,118,18,16,100,105,100
66,instances/type15/instance2.json,124,17,75,100,206,100
65,instances/type15/instance3.json,168,21,350,100,724,99.8618784530387
64,instances/type15/instance4.json,224,28,1000,100,1000,99.9
36,instances/type16/instance10.json,922,138,529,100,1000,100
42,instances/type16/instance2.json,276,13,2,100,103,100
41,instances/type16/instance3.json,308,33,14,100,126,100
39,instances/type16/instance4.json,480,28,8,100,116,100
38,instances/type16/instance5.json,562,79,18,100,136,100
44,instances/type16/instance6.json,776,85,10,100,119,100
43,instances/type16/instance7.json,700,122,64,100,207,100
40,instances/type16/instance8.json,1020,179,59,100,198,100
37,instances/type16/instance9.json,816,125,270,100,620,100
