type,file,constraints,num_pos,percentage_pos,num_neg,percentage_neg
1,instances/type01/instance5.json,0,1000,100,1000,91.4
1,instances/type01/instance4.json,0,1000,100,1000,89.8
1,instances/type01/instance3.json,0,1000,100,1000,92.7
1,instances/type01/instance2.json,0,1000,100,1000,90.1
1,instances/type01/instance1.json,0,1000,100,1000,89.8
1,instances/type01/instance0.json,0,1000,100,1000,88.1
1,instances/type01/instance7.json,0,1000,100,1000,93.1
1,instances/type01/instance6.json,0,1000,100,1000,90.9
2,instances/type02/instance5.json,2,281,100,629,100
2,instances/type02/instance4.json,2,73,100,220,99.09090909
2,instances/type02/instance3.json,2,32,100,137,100
2,instances/type02/instance2.json,2,4,100,107,100
2,instances/type02/instance1.json,2,10,100,116,100
2,instances/type02/instance0.json,2,2,100,102,100
2,instances/type02/instance7.json,2,1000,100,1000,99.8
2,instances/type02/instance6.json,2,579,100,1000,99.9
4,instances/type04/instance5.json,3,2,100,104,99.03846154
4,instances/type04/instance4.json,3,2,100,104,97.11538462
4,instances/type04/instance3.json,3,10,100,120,90.83333333
4,instances/type04/instance2.json,3,8,100,116,93.10344828
4,instances/type04/instance1.json,3,4,100,105,98.0952381
4,instances/type04/instance0.json,3,2,100,101,97.02970297
4,instances/type04/instance7.json,3,4,100,108,100
4,instances/type04/instance6.json,3,2,100,104,98.07692308
7,instances/type07/instance10.json,0,18,100,135,0
7,instances/type07/instance9.json,0,91,100,252,0
7,instances/type07/instance5.json,0,230,100,419,0
7,instances/type07/instance4.json,0,206,100,325,0
7,instances/type07/instance8.json,0,148,100,347,0
7,instances/type07/instance3.json,0,96,100,177,0
7,instances/type07/instance2.json,0,52,100,78,0
7,instances/type07/instance1.json,0,24,100,35,0
7,instances/type07/instance0.json,0,18,100,9,0
7,instances/type07/instance7.json,0,240,100,495,0
7,instances/type07/instance6.json,0,436,100,740,0
8,instances/type08/instance5.json,3,96,100,266,99.62406015
8,instances/type08/instance4.json,3,32,100,140,99.28571429
8,instances/type08/instance3.json,3,25,100,127,100
8,instances/type08/instance2.json,3,19,100,114,100
8,instances/type08/instance1.json,3,8,100,112,98.21428571
8,instances/type08/instance0.json,3,4,100,107,89.71962617
8,instances/type08/instance7.json,3,518,100,1000,99.7
8,instances/type08/instance6.json,3,236,100,547,99.45155393
13,instances/type13/instance5.json,1,160,100,362,99.44751381
13,instances/type13/instance4.json,1,92,100,238,100
13,instances/type13/instance8.json,1,1000,100,1000,99.4
13,instances/type13/instance3.json,1,32,100,128,99.21875
13,instances/type13/instance2.json,1,12,100,115,96.52173913
13,instances/type13/instance1.json,1,4,100,23,91.30434783
13,instances/type13/instance0.json,1,2,100,2,100
13,instances/type13/instance7.json,1,608,100,1000,99.2
13,instances/type13/instance6.json,1,355,100,755,100
14,instances/type14/instance8.json,4,124,100,327,100
14,instances/type14/instance7.json,4,35,100,149,100
14,instances/type14/instance6.json,4,4,100,108,100
15,instances/type15/instance4.json,2,1000,100,1000,99.9
15,instances/type15/instance3.json,2,350,100,724,99.58563536
15,instances/type15/instance2.json,2,75,100,206,100
15,instances/type15/instance1.json,2,16,100,105,99.04761905
15,instances/type15/instance0.json,2,8,100,110,97.27272727
16,instances/type16/instance10.json,2,529,100,1000,100
16,instances/type16/instance9.json,2,270,100,620,100
16,instances/type16/instance5.json,2,18,100,136,100
16,instances/type16/instance4.json,2,8,100,116,100
16,instances/type16/instance8.json,2,59,100,198,100
16,instances/type16/instance3.json,2,14,100,126,100
16,instances/type16/instance2.json,2,2,100,103,100
16,instances/type16/instance7.json,2,64,100,207,100
16,instances/type16/instance6.json,2,10,100,119,100
